Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
30/01/2024,20:57,ELI LILLY AND COMPANY,US5324571083,NSY,SOHO,2,644.9798,USD,-1289.96,USD,-1189.46,EUR,1.08,-2,EUR,-1191.46,EUR,70170415-1933-4c8c-975b-7277a9774505
30/01/2024,15:32,ELI LILLY AND COMPANY,US5324571083,NSY,XNYS,6,645,USD,-3870,USD,-3565.86,EUR,1.09,-2,EUR,-3567.86,EUR,c05db872-bd42-4a3b-94d4-53d9a0dd708a
30/01/2024,15:30,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,-10,27.99,USD,279.9,USD,257.93,EUR,1.09,-2,EUR,255.93,EUR,ce86aed3-13fc-4dfd-8eac-d66f180239a2
30/01/2024,09:42,KENMARE RES.,IE00BDC5DG00,LSE,XLON,-300,305,GBX,91500,GBX,1072.68,EUR,85.3,-4.9,EUR,1067.78,EUR,88a207b9-cb0c-4047-a48a-f2df128bc6a1
30/01/2024,09:42,INVESCO JPX-NIKKEI 400 UCITS ETF,IE00BVGC6645,XET,XETA,-75,26.0999,EUR,1957.5,EUR,1957.5,EUR,,-3,EUR,1954.5,EUR,e1de5f48-cafb-4516-b9aa-fe24b9fc2c63
30/01/2024,09:00,SMITH(DS),GB0008220112,LSE,XLON,-440,291.5,GBX,128260,GBX,1504.4,EUR,85.26,-4.9,EUR,1499.5,EUR,b669a7f2-30fa-4a6c-8112-557cd256d170
23/01/2024,15:30,ELI LILLY AND COMPANY,US5324571083,NSY,XNYS,1,627.21,USD,-627.21,USD,-577.33,EUR,1.09,-2,EUR,-579.33,EUR,ebc964c4-cf6d-4cd6-8c5c-c11d0a38bffe
19/12/2023,21:41,ROBINHOOD MARKETS INC,US7707001027,NDQ,CDED,-1,13.08,USD,13.08,USD,11.92,EUR,1.1,-2,EUR,9.92,EUR,7ad442b7-a749-448f-af97-3812aca76a12
19/12/2023,21:01,ELI LILLY AND COMPANY,US5324571083,NSY,CDED,10,578.56,USD,-5785.6,USD,-5271.17,EUR,1.1,-2,EUR,-5273.17,EUR,dc3033eb-749f-4cc1-b756-7c31a225582e
19/12/2023,20:51,CLEAN ENERGY FUELS COR,US1844991018,NDQ,SOHO,-1500,3.7402,USD,5610.3,USD,5111.92,EUR,1.1,-2,EUR,5109.92,EUR,41303ea0-7548-4fd3-986b-e777bb511eb2
19/12/2023,20:50,BENSON HILL INC. COMMON STOCK,US0824901039,NSY,SOHO,-3000,0.1451,USD,435.3,USD,396.67,EUR,1.1,-2,EUR,394.67,EUR,fb3b647d-e192-4342-9054-48aaab51a38c
04/12/2023,15:30,ELI LILLY AND COMPANY,US5324571083,NSY,XNYS,3,582.13,USD,-1746.39,USD,-1613.3,EUR,1.08,-2,EUR,-1615.3,EUR,d9d0bf3e-eeb8-417b-8189-85f681668080
01/12/2023,15:30,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,160,67,EUR,-10720,EUR,-10720,EUR,,-3.9,EUR,-10723.9,EUR,90b7d59d-a5a7-4e40-92bb-119effc41209
01/12/2023,12:07,AIB GROUP PLC,IE00BF0L3536,TDG,XGAT,-1700,4.202,EUR,7143.4,EUR,7143.4,EUR,,,EUR,7143.4,EUR,ba1ff87d-3f7b-45a4-ac53-e2ebafb6612b
01/12/2023,12:06,AIB GROUP PLC,IE00BF0L3536,TDG,XGAT,-1300,4.202,EUR,5462.6,EUR,5462.6,EUR,,-3.9,EUR,5458.7,EUR,ba1ff87d-3f7b-45a4-ac53-e2ebafb6612b
29/11/2023,21:19,MANCHESTER UNITED PLC,KYG5784H1065,TDG,XGAT,5,17.76,EUR,-88.8,EUR,-88.8,EUR,,-3.9,EUR,-92.7,EUR,8a888cdc-78fb-46fd-9fb8-4cb7ee1e6bc5
06/11/2023,08:23,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,1,92,EUR,-92,EUR,-92,EUR,,-3.9,EUR,-95.9,EUR,6228cb6f-e457-427e-9632-50f418354543
20/10/2023,17:23,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,3,90.71,EUR,-272.13,EUR,-272.13,EUR,,-3.9,EUR,-276.03,EUR,509a758f-f4ef-4d2b-bc7f-b6e100fcddab
06/10/2023,00:00,CAPRICORN ENERG,GB00BRJ7R218,LSE,,132,269.1,GBX,-35521.2,GBX,-410.63,EUR,86.51,,EUR,-410.63,EUR,
06/10/2023,00:00,CAPRICORN ENERG,GB00BQ98V038,LSE,,-199,179.4,GBX,35700.6,GBX,412.7,EUR,86.51,,EUR,412.7,EUR,
28/09/2023,11:29,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,19,87.1,EUR,-1654.9,EUR,-1654.9,EUR,,-3.9,EUR,-1658.8,EUR,b3f2d89a-7471-4cb9-ae49-e547b62f2a2a
19/09/2023,09:46,ISHARES CORE DAX UCITS ETF (DE),DE0005933931,XET,XETA,-80,131.54,EUR,10523.2,EUR,10523.2,EUR,,-3,EUR,10520.2,EUR,3a5de8ba-c47a-418c-b8ea-19ccd8d625e3
18/09/2023,00:00,CRH,IE0001827041,LSE,,473,0,GBX,0,GBX,0,EUR,85.87,,EUR,0,EUR,
18/09/2023,00:00,CRH PLC ORD,IE0001827041,IRL,,-473,0,EUR,0,EUR,0,EUR,,,EUR,0,EUR,
13/09/2023,00:00,NOVO NORDISK A/S,DK0062498333,TDG,,120,92.5,EUR,-11100,EUR,-11100,EUR,,,EUR,-11100,EUR,
13/09/2023,00:00,NOVO NORDISK A/S,DK0060534915,TDG,,-60,185,EUR,11100,EUR,11100,EUR,,,EUR,11100,EUR,
15/08/2023,08:00,NOVO NORDISK A/S,DK0060534915,TDG,XGAT,30,164.52,EUR,-4935.6,EUR,-4935.6,EUR,,-3.9,EUR,-4939.5,EUR,ecd94fe0-62e1-4b68-8bc7-3278f8041959
14/08/2023,17:46,NOVO NORDISK A/S,DK0060534915,TDG,XGAT,30,167.16,EUR,-5014.8,EUR,-5014.8,EUR,,-3.9,EUR,-5018.7,EUR,912596a0-495e-4ee2-be06-f1832022f603
15/06/2023,16:11,INVESCO JPX-NIKKEI 400 UCITS ETF,IE00BVGC6645,XET,XETA,75,23.2,EUR,-1740,EUR,-1740,EUR,,-3,EUR,-1743,EUR,83d286c6-8ed7-4797-a6dc-e727133e5df9
29/05/2023,09:56,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,8,184.1,EUR,-1472.8,EUR,-1472.8,EUR,,-3.9,EUR,-1476.7,EUR,82735508-71e3-4978-a24a-a41da7b814e0
16/05/2023,00:00,CAPRICORN ENERG,GB00BQ98V038,LSE,,199,461.1515,GBX,-91769.15,GBX,-1047.36,EUR,87.62,,EUR,-1047.36,EUR,
16/05/2023,00:00,CAPRICORN ENERGY PLC,GB00BN0SMB92,LSE,,-423,217.4,GBX,91960.2,GBX,1049.54,EUR,87.62,,EUR,1049.54,EUR,
08/05/2023,15:30,BENSON HILL INC. COMMON STOCK,US0824901039,NSY,XNYS,3000,1.2,USD,-3600,USD,-3261.48,EUR,1.1,-1,EUR,-3262.48,EUR,561e6a85-26d6-4bcf-962f-5e2d23b22cda
12/04/2023,10:49,AMRYT PHARMA PLC - AMERICAN DEPOSITARY SHARES,US03217L1061,NDQ,,-200,0,USD,0,USD,0,EUR,1.03,,EUR,0,EUR,
12/04/2023,00:00,AMRYT PHARMA PLC - AMERICAN DEPOSITARY,US032CVR0297,DEG,,1000,0,USD,0,USD,0,EUR,1.03,,EUR,0,EUR,
,,SHARES - NON TRADEABLE,,,,,,,,,,,,,,,,
12/04/2023,00:00,AMRYT PHARMA PLC - AMERICAN DEPOSITARY SHARES - NON TRADEABLE,US032CVR0115,DEG,,1000,0,USD,0,USD,0,EUR,1.03,,EUR,0,EUR,
11/04/2023,20:27,CLEAN ENERGY FUELS COR,US1844991018,NDQ,"CDED, MSPL",1000,4.5085,USD,-4508.5,USD,-4133.43,EUR,1.09,-1,EUR,-4134.43,EUR,f853abb6-664c-4003-ad7d-b252e8361934
20/03/2023,17:18,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,1200,4.1495,EUR,-4979.4,EUR,-4979.4,EUR,,-3,EUR,-4982.4,EUR,b16b98e3-9b0b-45d5-9b7f-36caf04b4bd5
22/12/2022,11:05,AMAZON.COM INC,US0231351067,TDG,XGAT,85,81.6,EUR,-6936,EUR,-6936,EUR,,-3.9,EUR,-6939.9,EUR,ff179a6e-fc97-48c3-bc11-d09bda9ca827
16/12/2022,11:56,AMAZON.COM INC,US0231351067,TDG,XGAT,100,82.36,EUR,-8236,EUR,-8236,EUR,,-3.9,EUR,-8239.9,EUR,ad2d7740-66a7-4dc2-9dc7-f974fef2c457
28/11/2022,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,50,152,USD,-7600,USD,-7281.13,EUR,1.04,-1,EUR,-7282.13,EUR,031f2bc5-5c5c-478f-92f8-6188c24b87f5
10/11/2022,10:48,AMAZON.COM INC,US0231351067,TDG,XGAT,100,86.93,EUR,-8693,EUR,-8693,EUR,,-3.9,EUR,-8696.9,EUR,e76bb84c-d599-4d4f-b3d7-bd5c7c4b5728
08/11/2022,11:22,KINGSPAN GRP PLC,IE0004927939,IRL,MESI,625,53.26,EUR,-33287.5,EUR,-33287.5,EUR,,-3,EUR,-33290.5,EUR,d7cf6bcf-594e-4927-afc0-c80c7b4ca003
08/11/2022,11:20,AMAZON.COM INC,US0231351067,TDG,XGAT,80,90.95,EUR,-7276,EUR,-7276,EUR,,-3.9,EUR,-7279.9,EUR,0735d993-8ce5-4fe7-909b-aa31fcd24cc1
08/11/2022,11:09,KINGSPAN GRP PLC,IE0004927939,IRL,XMSM,-625,53.4,EUR,33375,EUR,33375,EUR,,-3,EUR,33372,EUR,52881261-e6b8-4aaa-9955-fbadfbbf1fb8
07/11/2022,20:18,AMAZON.COM INC,US0231351067,TDG,XGAT,-80,90,EUR,7200,EUR,7200,EUR,,-3.9,EUR,7196.1,EUR,70f322e8-e7e2-44eb-8f5a-b307d3676c4f
