Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
06-03-2025,20:40,INTEL CORP,US4581401001,TDG,XGAT,-114,19.1200,EUR,"2,179.68",EUR,"2,179.68",,0.00,-3.90,"2,175.78",,a9723031-4342-45aa-93af-18e760dcf622,
06-03-2025,20:17,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,4,91.6100,EUR,-366.44,EUR,-366.44,,0.00,-3.90,-370.34,,f98b38d5-63a4-407e-a8dc-af4fd422f25b,
04-12-2024,16:48,INTEL CORP,US4581401001,TDG,XGAT,24,20.9350,EUR,-502.44,EUR,-502.44,,0.00,-3.90,-506.34,,b8826933-1556-4db7-add2-3a85d01d1674,
29-11-2024,15:22,INTEL CORP,US4581401001,TDG,XGAT,90,22.5200,EUR,"-2,026.80",EUR,"-2,026.80",,0.00,-3.90,"-2,030.70",,8d55d818-f281-49ca-bd82-37054297f701,
29-11-2024,15:11,INTEL CORP,US4581401001,TDG,XGAT,-90,22.5050,EUR,"2,025.45",EUR,"2,025.45",,0.00,-3.90,"2,021.55",,7488420c-7a76-44c8-97fe-e02888812522,
27-11-2024,17:04,RYANAIR HOLDINGS PLC,IE00BYTBXV33,TDG,XGAT,100,18.2150,EUR,"-1,821.50",EUR,"-1,821.50",,0.00,-3.90,"-1,825.40",,9c515768-8b0e-499b-a5be-2ac1f2d114e3,
27-11-2024,16:27,PFIZER INC,US7170811035,TDG,XGAT,300,24.5300,EUR,"-7,359.00",EUR,"-7,359.00",,0.00,-3.90,"-7,362.90",,f318de69-5b54-44d5-a2f0-bf641daf2abc,
27-11-2024,16:24,RYANAIR HOLDINGS PLC,IE00BYTBXV33,TDG,XGAT,-97,18.2150,EUR,"1,766.86",EUR,"1,766.86",,0.00,-3.90,"1,762.96",,a2c00602-46a1-4a82-a04e-f2c5a4f71f69,
27-11-2024,16:23,PFIZER INC,US7170811035,TDG,XGAT,-300,24.5400,EUR,"7,362.00",EUR,"7,362.00",,0.00,-3.90,"7,358.10",,d55a3f4f-b820-4cad-aff2-443628b0815d,
18-09-2024,21:27,INTEL CORP,US4581401001,TDG,XGAT,90,18.9000,EUR,"-1,701.00",EUR,"-1,701.00",,0.00,-3.90,"-1,704.90",,0cfb372a-6175-4e2f-9b45-3af83f9d6195,
15-07-2024,15:21,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,,68,0.0000,USD,0.00,USD,0.00,1.0840,0.00,,0.00,,,
15-07-2024,15:21,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,,-68,0.0000,EUR,0.00,EUR,0.00,,0.00,,0.00,,,
19-04-2024,16:13,RYANAIR HOLDINGS PLC,IE00BYTBXV33,TDG,XGAT,97,20.5000,EUR,"-1,988.50",EUR,"-1,988.50",,0.00,-3.90,"-1,992.40",,d74e33d4-223c-4584-979c-6561c5505cb7,
18-04-2024,20:32,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,10,64.8000,EUR,-648.00,EUR,-648.00,,0.00,-3.90,-651.90,,1ae9b69d-b467-4a2a-af53-a81469c903c9,
07-12-2023,09:06,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,68,150.6000,EUR,"-10,240.80",EUR,"-10,240.80",,0.00,-3.90,"-10,244.70",,682914d0-2c58-4bd8-a63d-e2b222ea67b6,
05-12-2023,08:54,PFIZER INC,US7170811035,TDG,XGAT,150,27.1500,EUR,"-4,072.50",EUR,"-4,072.50",,0.00,-3.90,"-4,076.40",,b2c6730f-cf0e-45b6-98f0-96c493019ca3,
05-12-2023,08:51,AMAZON.COM INC,US0231351067,TDG,XGAT,114,133.0000,EUR,"-15,162.00",EUR,"-15,162.00",,0.00,-3.90,"-15,165.90",,db3cdb1f-a803-481d-86d2-930352041300,
04-12-2023,21:24,AMAZON.COM INC,US0231351067,TDG,XGAT,-112,133.2000,EUR,"14,918.40",EUR,"14,918.40",,0.00,-3.90,"14,914.50",,27ef2156-f116-4854-9e55-57015da9501d,
04-12-2023,20:56,PFIZER INC,US7170811035,TDG,XGAT,150,27.1500,EUR,"-4,072.50",EUR,"-4,072.50",,0.00,-3.90,"-4,076.40",,eed47451-22c1-4eff-b290-4e37c3163b33,
04-12-2023,15:30,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,-140,29.1400,USD,"4,079.60",USD,"3,769.40",1.0823,-9.42,-2.00,"3,767.40",,0376edd7-7e98-482e-83bf-f2fc2b5dccf9,
04-12-2023,13:52,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,-20,143.0500,EUR,"2,861.00",EUR,"2,861.00",,0.00,,"2,861.00",,c1912193-2bdb-4109-8779-a5e1e4ea44b5,
